n,factorization,omega,f,minimizers,above_sqrt,at_sqrt,equals_n_over_largest_prime
2282,2*7*163,3,2,1141,False,False,False
2283,3*761,2,3,761,False,False,True
2284,2^2*571,2,4,571 1142,False,False,True
2285,5*457,2,5,457 914,False,False,True
2286,2*3^2*127,3,18,127 254 381 508 635 762 889 1016 1143,False,False,True
2288,2^4*11*13,3,13,176,False,False,False
2289,3*7*109,3,3,763,False,False,False
2290,2*5*229,3,10,229 458 687 916 1145,False,False,True
2291,29*79,2,29,79 158 237 316 395 474 553 632 711 790 869 948 1027 1106,False,False,True
2292,2^2*3*191,3,12,191 382 573 764 955 1146,False,False,True
2294,2*31*37,3,31,148,False,False,False
2295,3^3*5*17,3,27,170 255 765 1020,False,False,False
2296,2^3*7*41,3,8,574,False,False,False
2298,2*3*383,3,6,383 766 1149,False,False,True
2299,11^2*19,2,11,418 836,False,False,False
2300,2^2*5^2*23,3,20,1150,False,False,False
2301,3*13*59,3,39,59 118 177 236 295 354 413 472 531 590 649 708 767 826 885 944 1003 1062 1121,False,False,True
2302,2*1151,2,2,1151,False,False,True
2303,7^2*47,2,47,49 98 147 196 245 343 392 441 490 539 588 686 735 784 833 882 931 1029 1078 1127,False,False,False
2304,2^8*3^2,2,9,256,False,False,False
2305,5*461,2,5,461 922,False,False,True
2306,2*1153,2,2,1153,False,False,True
2307,3*769,2,3,769,False,False,True
2308,2^2*577,2,4,577 1154,False,False,True
2310,2*3*5*7*11,5,154,30,True,False,False
2312,2^3*17^2,2,8,289 578 867 1156,False,False,False
2313,3^2*257,2,9,257 514 771 1028,False,False,True
2314,2*13*89,3,26,89 178 267 356 445 534 623 712 801 890 979 1068 1157,False,False,True
2315,5*463,2,5,463 926,False,False,True
2316,2^2*3*193,3,12,193 386 579 772 965 1158,False,False,True
2317,7*331,2,7,331 662 993,False,False,True
2318,2*19*61,3,2,1159,False,False,False
2319,3*773,2,3,773,False,False,True
2320,2^4*5*29,3,16,145 290 435 1015,False,False,False
2321,11*211,2,11,211 422 633 844 1055,False,False,True
2322,2*3^3*43,3,18,129,False,False,False
2323,23*101,2,23,101 202 303 404 505 606 707 808 909 1010 1111,False,False,True
2324,2^2*7*83,3,28,83 166 249 332 415 498 581 664 747 830 913 996 1079 1162,False,False,True
2325,3*5^2*31,3,15,155 310,False,False,False
2326,2*1163,2,2,1163,False,False,True
2327,13*179,2,13,179 358 537 716 895 1074,False,False,True
2328,2^3*3*97,3,12,776,False,False,False
2329,17*137,2,17,137 274 411 548 685 822 959 1096,False,False,True
2330,2*5*233,3,10,233 466 699 932 1165,False,False,True
2331,3^2*7*37,3,9,259 518,False,False,False
2332,2^2*11*53,3,44,53 106 159 212 265 318 371 424 477 530 583 636 689 742 795 848 901 954 1007 1060 1113 1166,False,False,True
2334,2*3*389,3,6,389 778 1167,False,False,True
2335,5*467,2,5,467 934,False,False,True
2336,2^5*73,2,8,1168,False,False,False
2337,3*19*41,3,19,123,False,False,False
2338,2*7*167,3,14,167 334 501 668 835 1002 1169,False,False,True
2340,2^2*3^2*5*13,4,20,117,False,False,False
2342,2*1171,2,2,1171,False,False,True
2343,3*11*71,3,33,71 142 213 284 355 426 497 568 639 710 781 852 923 994 1065 1136,False,False,True
2344,2^3*293,2,8,293 586 879 1172,False,False,True
2345,5*7*67,3,5,469 938,False,False,False
2346,2*3*17*23,4,6,1173,False,False,False
2348,2^2*587,2,4,587 1174,False,False,True
2349,3^4*29,2,27,87,False,False,False
2350,2*5^2*47,3,47,300,False,False,False
2352,2^4*3*7^2,3,12,784,False,False,False
2353,13*181,2,13,181 362 543 724 905 1086,False,False,True
2354,2*11*107,3,22,107 214 321 428 535 642 749 856 963 1070 1177,False,False,True
2355,3*5*157,3,15,157 314 471 628 785 942 1099,False,False,True
2356,2^2*19*31,3,4,1178,False,False,False
2358,2*3^2*131,3,9,262,False,False,False
2359,7*337,2,7,337 674 1011,False,False,True
2360,2^3*5*59,3,8,885,False,False,False
2361,3*787,2,3,787,False,False,True
2362,2*1181,2,2,1181,False,False,True
2363,17*139,2,17,139 278 417 556 695 834 973 1112,False,False,True
2364,2^2*3*197,3,12,197 394 591 788 985 1182,False,False,True
2365,5*11*43,3,11,215 430,False,False,False
2366,2*7*13^2,3,14,169,False,False,False
2367,3^2*263,2,9,263 526 789 1052,False,False,True
2368,2^6*37,2,8,296,False,False,False
2369,23*103,2,23,103 206 309 412 515 618 721 824 927 1030 1133,False,False,True
2370,2*3*5*79,4,6,395 790,False,False,False
2372,2^2*593,2,4,593 1186,False,False,True
2373,3*7*113,3,3,791,False,False,False
2374,2*1187,2,2,1187,False,False,True
2375,5^3*19,2,5,475,False,False,False
2376,2^3*3^3*11,3,24,891,False,False,False
2378,2*29*41,3,29,328,False,False,False
2379,3*13*61,3,39,61 122 183 244 305 366 427 488 549 610 671 732 793 854 915 976 1037 1098 1159,False,False,True
2380,2^2*5*7*17,4,20,357 595 1190,False,False,False
2382,2*3*397,3,6,397 794 1191,False,False,True
2384,2^4*149,2,16,149 298 447 596 745 894 1043 1192,False,False,True
2385,3^2*5*53,3,45,53 106 159 212 265 318 371 424 477 530 583 636 689 742 795 848 901 954 1007 1060 1113 1166,False,False,True
2386,2*1193,2,2,1193,False,False,True
2387,7*11*31,3,7,1023,False,False,False
2388,2^2*3*199,3,12,199 398 597 796 995 1194,False,False,True
