source	row	p_num	q_num	w01_num	w10_num	w11_num	denominator	sign	cleared_deficit
candidates-650652.tsv	6	999999975	2854	999999987	925687772	999999904	1000000000	1	37968370462381698527542613374789294509045444778728474782783989668560912250214472756733810330407326619538085350149478344151620477702047619821571286586341779817920219798751513689778170742343228030300085106013888953364970171141912646756738039822129587108682087445375434857245612044716084391006038707596103313360216988681293083603185568017376101718266687355935573577880859375000000000000000
candidates-650652.tsv	7	999998984	1468	1000000000	988541555	999999922	1000000000	1	140007040948657255075422031496082901610608871060510145838521127031980114723572587749651497478802506304938645085548737855471766625944714322767308942905657997612195088052940602409604193047839355976519883639514751512051687419512698891913698551523332234721365969397636096310111515751586229294907678084694968483831743520492156244738038460398056132452657241150855492150758503206944645291442176
candidates-650652.tsv	8	999999453	24	999999954	975500027	999999920	1000000000	1	10198432330142775187747209664751684866013793955165999460245352252498233113409059687383660687249541571864661893594176081914987904938506878622315979308567385897182609177588904803565721223230400683619783735061622378576140930542581392173977292893243663086201583724617166048577966161604456252664024945172517520563220727271080062312492398953369713279942868074295965403662567067597613373063168
candidates-650652.tsv	9	999997759	405	999999957	947534026	999999994	1000000000	1	42126804453182478592160868323940406989786213323987712015648645875702132068730722287975663483689989933883209493440726655951756829221163402101440724546854285413739052035893634943835570951971917417828372215518535853961826573745995576077267016511460808152821377113181173827412550046837565779808620437252353964248832755263493695370369673729251561631972985642789676997893855303358489990234375
candidates-650652.tsv	10	999999431	45	999999961	992227809	999999947	1000000000	1	2564522966372566626755276291509934639880464673680142233443168339017880172471323244366863474402210505217107099430337734832490659674517018357506840618109196185655573231519618187079673421107794535006572320554310090688316142030087284803260372610810516147732932316899855856909769473070480726023673323581830181477832914826843801698100010107829904097210827854211794336715558695062042236328125
candidates-650652.tsv	11	999999701	2942	999999961	994131194	999999906	1000000000	1	84639530657609827463735208829925887926164571214050583856234298814911244545249620966728001135583925757903906139075429522246667539945489608720713675356301781912606998881155631756519515603561300823788320850537804033602765461168749514549657183325403656814401692570098106777773666520166168742170719499637617606581637085931817571875178590952945741066108455782423414183283099126417571567992832
candidates-650652.tsv	12	999998016	595	999999862	948776019	999999907	1000000000	1	18082510990908827509214806863247187655229177397005496118978438649053728293246932124347443013689255863860427611885680620980492806173137925565736512803498741211788349325324503743446504951396955716218847302930713808072399587513864796257573020899297038398761151761437211653146666873071415733853249841767571952177655390476569891457077134986791595837748098832993117329510367232000000000000000
candidates-650652.tsv	13	999997053	3149	999999898	962666878	999999984	1000000000	1	47074702704515503129488677013241770412557480779827134249502383833247560966958770894261697237093383789455084390029515904785721449106704509946674679666628081800135936730870806056165824274656995877712478237915410970631323139487213037918212760149891175528426224251133154369208984906451138027722230554408541653776004602853083769126160613600031913998537632871355733890121108986996732014362624
candidates-650652.tsv	14	999996757	2418	999999856	970148362	999999916	1000000000	1	87990645479996082547323928265507708839779593757926265098188522677552318640444732998647880821782267910589777006708204084448016326358029891419900639733062152600445826613984905064614433797503165710768932773727040718741662671039125367327213102891433640133656840776098150455563954253423269714176534822921744214082363085704281548115012897630263882141854393622539957403670793326782904971296768
candidates-650652.tsv	15	999987955	26	999999841	990122663	999999854	1000000000	1	29964045226607593505013166023951574013322214258821575591477266098826681882543751265575372112151024846097151993031634385971400322999777557398978628034875891692868962107551904270580875543267480247684334166742132048169361901003425164211035766246093610000499627230311844393772309941174548013033862256017049834257942020468583323446850588714599331390350341796875000000000000000000000000000000
candidates-650652.tsv	16	999998169	80	999999842	974418183	999999846	1000000000	1	14932545328615528996595951415868008736355608439545163925135479208294706677914442136291163858344029868260164003896250567315982805041001962068457625912192449338121383913854620392940976248733332291663829007470766915356706132312094183368220271223051870565712213524844462477801913815253978419992879689356007001555712137470817251516057402765360823520037261466165289832343928832000000000000000
candidates-650652.tsv	17	999999706	129	999999886	932402708	999999898	1000000000	1	17191085841907810143407040811557669652631650524494221264840410763143993628981962656948708703714658359199509163356016970227479221605016183286458106527793668895587880320671058718248807922871626176933642014793358050924327839108664914225287541979707288698518618160245831264272130048982882809455711069391791604327155775658742737249295968741216294764268974356194668939146634011627760935501824
candidates-650652.tsv	18	999999299	368	999999914	981456232	999999919	1000000000	1	29451681221303145333552343147687531020475749980225632719298451001744620649585384213090778115113401979448488938792220669036688747183382345747431865136924949892642096470036556769010136653394161885128422026121542829146621962096666010818018085079805933417793218183034278320480355468767602690631475516871397252526621808964185147108756054119655333828651504159420772090994758299203531098292224
candidates-650652.tsv	19	999998824	100	999999899	973187501	999999964	1000000000	1	75745772262665796953980013116564223502017700525753055191805901573362821573728299405895304744997671828294808594712121892675786359520306374673544888964684074841112606922983604796363082044387852220587967229036832492407737339581452176382487696252653764262559865233460124384275689325998152014774743987921985144895124934209702246693782037510946135011703048372224000000000000000000000000000000
candidates-650652.tsv	20	999994868	1478	999999959	990350259	999999962	1000000000	1	11374344144451779345690479437245163023928957610702502924282362802597756751700786945611224855073402355746043171276450752479117209226280691738564062884230866057876467039306883118973272725716220731931481953230840247373031474919924950763513820085113540535805421009087251371215231808956389104219881254305721711472387040736147848670087693499310820626939952150015670561192689007919063969562624
candidates-650652.tsv	21	999997411	1795	999999923	974138417	999999930	1000000000	1	63068088077271730191714732596258752918176288930692112291376648490808478496038642746403842705109842326072319638740512469967247670246660190854693914502131636120016352969740505234025011942777294127216329556624850870766509689379210064639372189597370478722844902840399078576538591053832186769955621068283128767101001955871844813810509465497414846804301484046797337310791015625000000000000000
candidates-650652.tsv	22	999999716	415	999999935	966850130	999999933	1000000000	1	20291323982877576778266448538064458108484770679997912154269786202578992314066032452607892461567330023918596115103467926945408035450876022675453427684109502259810393329727815208920146159891596984292949619826914182021080947011406886029656347021872651724607084024331545193425641407236486151603469595365668997874101461359055798877576322095458975737380427893501697492602847232000000000000000
