original_clause	status	remaining_clauses	seconds
356	RETAIN_CAP	2329	0.008504
357	RETAIN_CAP	2329	0.008937
358	RETAIN_CAP	2329	0.008797
359	RETAIN_CAP	2329	0.009611
360	RETAIN_CAP	2329	0.007824
361	RETAIN_CAP	2329	0.008801
362	RETAIN_CAP	2329	0.008944
363	RETAIN_CAP	2329	0.008877
364	RETAIN_CAP	2329	0.008544
365	RETAIN_CAP	2329	0.008943
366	RETAIN_CAP	2329	0.008219
367	RETAIN_CAP	2329	0.008810
368	RETAIN_CAP	2329	0.007932
369	RETAIN_CAP	2329	0.008026
370	RETAIN_CAP	2329	0.007854
371	RETAIN_CAP	2329	0.008365
372	RETAIN_CAP	2329	0.008264
373	RETAIN_CAP	2329	0.007709
374	RETAIN_CAP	2329	0.008636
375	RETAIN_CAP	2329	0.008794
376	RETAIN_CAP	2329	0.008327
377	RETAIN_CAP	2329	0.008022
378	RETAIN_CAP	2329	0.008154
379	RETAIN_CAP	2329	0.007813
380	RETAIN_CAP	2329	0.007737
381	RETAIN_CAP	2329	0.008324
382	RETAIN_CAP	2329	0.008225
383	RETAIN_CAP	2329	0.007849
384	RETAIN_CAP	2329	0.007735
385	RETAIN_CAP	2329	0.007700
386	RETAIN_CAP	2329	0.008392
387	RETAIN_CAP	2329	0.008428
388	RETAIN_CAP	2329	0.008896
389	RETAIN_CAP	2329	0.008496
390	RETAIN_CAP	2329	0.007714
391	RETAIN_CAP	2329	0.007864
392	RETAIN_CAP	2329	0.008449
393	RETAIN_CAP	2329	0.008246
394	RETAIN_CAP	2329	0.008256
395	RETAIN_CAP	2329	0.008389
396	RETAIN_CAP	2329	0.008099
397	RETAIN_CAP	2329	0.007773
398	RETAIN_CAP	2329	0.008145
399	RETAIN_CAP	2329	0.007990
400	RETAIN_CAP	2329	0.008900
401	RETAIN_CAP	2329	0.008267
402	RETAIN_CAP	2329	0.008593
403	RETAIN_CAP	2329	0.008309
404	RETAIN_CAP	2329	0.008190
405	RETAIN_CAP	2329	0.009188
406	RETAIN_CAP	2329	0.008412
407	RETAIN_CAP	2329	0.009173
408	RETAIN_CAP	2329	0.008112
409	RETAIN_CAP	2329	0.007852
410	RETAIN_CAP	2329	0.007824
411	RETAIN_CAP	2329	0.007501
412	RETAIN_CAP	2329	0.007961
413	RETAIN_CAP	2329	0.007790
414	RETAIN_CAP	2329	0.007831
415	RETAIN_CAP	2329	0.007777
416	RETAIN_CAP	2329	0.007996
417	RETAIN_CAP	2329	0.008413
418	RETAIN_CAP	2329	0.007494
419	RETAIN_CAP	2329	0.007697
420	RETAIN_CAP	2329	0.007461
421	RETAIN_CAP	2329	0.007618
422	RETAIN_CAP	2329	0.007390
423	RETAIN_CAP	2329	0.007368
424	RETAIN_CAP	2329	0.007403
425	RETAIN_CAP	2329	0.007883
426	RETAIN_CAP	2329	0.007668
427	RETAIN_CAP	2329	0.007608
428	RETAIN_CAP	2329	0.007640
429	RETAIN_CAP	2329	0.007737
430	RETAIN_CAP	2329	0.007849
431	RETAIN_CAP	2329	0.007928
432	RETAIN_CAP	2329	0.008014
433	RETAIN_CAP	2329	0.007709
434	RETAIN_CAP	2329	0.007707
435	RETAIN_CAP	2329	0.007719
436	RETAIN_CAP	2329	0.007783
437	RETAIN_CAP	2329	0.007770
438	RETAIN_CAP	2329	0.008216
439	RETAIN_CAP	2329	0.007454
440	RETAIN_CAP	2329	0.007647
441	RETAIN_CAP	2329	0.007829
442	RETAIN_CAP	2329	0.008118
443	RETAIN_CAP	2329	0.008060
444	RETAIN_CAP	2329	0.007720
445	RETAIN_CAP	2329	0.007530
446	RETAIN_CAP	2329	0.007817
447	RETAIN_CAP	2329	0.009436
448	RETAIN_CAP	2329	0.007716
449	RETAIN_CAP	2329	0.007725
450	RETAIN_CAP	2329	0.007642
451	RETAIN_CAP	2329	0.007782
452	RETAIN_CAP	2329	0.007569
