base_index	leaf_ordinal	status	partition	partition_rank	objective	source_clauses	weights	support	denominator	W	U	block_maxima	partitions_tested	detail
3	936	UNRESOLVED	0-2,1-6,3-4,5-7,8-9,10-11,12	-1	0.99999999999995592			0	0	0	0		73	no frozen partition produced exact deficit
3	937	UNRESOLVED	0-9,1-2,3-4,5-6,7-8,10-11,12	-1	0.99999999999991596			0	0	0	0		73	no frozen partition produced exact deficit
3	938	UNRESOLVED	0-8,1-2,3-4,5-6,7-9,10-11,12	-1	0.99999999999980516			0	0	0	0		73	no frozen partition produced exact deficit
3	939	UNRESOLVED	0-1,2-3,4-5,6-8,7-11,9-10,12	-1	0.99999999999993505			0	0	0	0		73	no frozen partition produced exact deficit
3	940	UNRESOLVED	0-1,2-3,4-6,5-11,7-8,9-10,12	-1	0.99999999999996336			0	0	0	0		73	no frozen partition produced exact deficit
3	941	UNRESOLVED	0-1,2-3,4-5,6-7,8-9,10,11-12	-1	0.99999999999980416			0	0	0	0		73	no frozen partition produced exact deficit
3	948	UNRESOLVED	0-6,1-2,3-4,5-7,8-9,10-11,12	-1	0.99999999999994282			0	0	0	0		73	no frozen partition produced exact deficit
3	949	UNRESOLVED	0-1,2-3,4-5,6-7,8-12,9-10,11	-1	0.99999999999988898			0	0	0	0		73	no frozen partition produced exact deficit
3	950	UNRESOLVED	0-1,2-3,4-6,5-12,7-8,9-10,11	-1	0.99999999999992295			0	0	0	0		73	no frozen partition produced exact deficit
3	951	UNRESOLVED	0-1,2-3,4-5,6-7,8-11,9-10,12	-1	0.99999999999994449			0	0	0	0		73	no frozen partition produced exact deficit
3	952	CERTIFIED_DEFICIT	0,1-2,3-4,5-6,7-8,9-10,11-12	2	0.99631004404068024	1205,1209,1213,1215,1217,1219,1221,1223,1406,1420,1428,1448,1462,1504,1518,1569,1571,1573,1577,1579,1583,1587,1607,1611,1613,1615,1619,1621,1638,1672,1686,1728,1742,1750,1770,1784,1804,1818,1846,1860,1902,1916,1969,1971,1973,1975,1977,1985,2001,2005,2011,2013,2015,2016,2017,2019,2070,2084,2126,2140,2156,2168,2182,2184,2202,2216,2244,2258,2296,2300,2314,2338,2365,2367,2369,2371,2375,2379,2383,2399,2403,2407,2409,2411,2413,2417,2468,2482,2524,2538,2566,2580	61,40,1,75,61,5,2,32,71,26,140,18,39,21,60,32,2,5,75,1,40,61,40,1,75,61,2,32,298,60,21,39,18,18,26,71,71,26,18,39,21,60,2,5,61,75,1,61,61,40,75,61,5,140,2,32,60,21,39,18,60,26,71,238,71,26,18,39,83,21,60,39,32,2,5,61,1,40,61,61,40,1,75,61,5,32,60,21,39,18,26,71	92	4096	4088	4075	0,277,298,516,1022,1057,905	3	exact integerized pair-choice deficit
3	959	UNRESOLVED	0-1,2-3,4-5,6-7,8-10,9-12,11	-1	0.99999999999991873			0	0	0	0		73	no frozen partition produced exact deficit
3	960	UNRESOLVED	0-1,2-4,3-5,6-7,8-9,10-11,12	-1	0.99999999999999956			0	0	0	0		73	no frozen partition produced exact deficit
3	961	UNRESOLVED	0-1,2-3,4-5,6-7,8-9,10-12,11	-1	0.99999999999999822			0	0	0	0		73	no frozen partition produced exact deficit
3	969	UNRESOLVED	0-12,1-2,3,4-5,6-7,8-9,10-11	-1	0.99999999999993261			0	0	0	0		73	no frozen partition produced exact deficit
3	970	UNRESOLVED	0-3,1-2,4-5,6-7,8-9,10-11,12	-1	1			0	0	0	0		73	no frozen partition produced exact deficit
3	971	UNRESOLVED	0-1,2-3,4-9,5-6,7-8,10-11,12	-1	0.99999999999990885			0	0	0	0		74	no frozen partition produced exact deficit
3	978	UNRESOLVED	0-1,2-3,4-10,5-6,7-8,9-11,12	-1	0.99999999999992284			0	0	0	0		73	no frozen partition produced exact deficit
3	979	CERTIFIED_DEFICIT	0-1,2-3,4-5,6-8,7-10,9-11,12	66	0.99404761904761108	1199,1207,1215,1217,1219,1221,1223,1251,1263,1265,1273,1279,1293,1321,1335,1457,1471,1499,1513,1527,1529,1541,1569,1571,1573,1577,1585,1597,1601,1605,1613,1615,1619,1621,1649,1661,1663,1671,1677,1691,1719,1733,1917,1927,1969,1971,1973,1975,1983,1985,2001,2003,2011,2013,2015,2017,2019,2047,2059,2061,2069,2075,2089,2117,2131,2253,2267,2295,2309,2315,2323,2325,2337,2365,2367,2369,2371,2381,2399,2409,2411,2413,2417,2445,2459,2467,2473,2487,2515,2529	39,45,84,70,81,84,84,5,2,20,14,59,14,25,59,59,25,14,59,20,2,5,84,84,81,84,45,39,39,45,84,70,84,84,5,2,20,14,59,14,25,59,14,2,84,81,70,84,45,39,39,45,84,70,81,84,84,5,2,20,14,59,14,25,59,59,25,14,59,14,20,2,5,84,84,81,70,45,39,84,70,81,84,5,20,14,59,14,25,59	90	4096	4110	4089	0,0,503,783,1092,1123,588	67	exact integerized pair-choice deficit
3	986	UNRESOLVED	0-1,2-3,4-10,5-6,7-8,9-11,12	-1	0.99999999999986999			0	0	0	0		74	no frozen partition produced exact deficit
