chart	family	value	x	y	r	h	coefficient
trans_equal_trans_dominant_singleton_large	trans_equal	3	1	1	1	1	3
trans_equal_trans_dominant_singleton_large	trans_equal	4	0	0	0	0	3
trans_equal_trans_dominant_singleton_large	trans_equal	4	0	0	1	1	-3
trans_equal_trans_dominant_singleton_large	trans_equal	4	0	1	0	0	-3
trans_equal_trans_dominant_singleton_large	trans_equal	4	0	1	1	1	3
trans_equal_trans_dominant_singleton_large	trans_equal	4	1	0	0	0	-3
trans_equal_trans_dominant_singleton_large	trans_equal	4	1	0	1	1	3
trans_equal_trans_dominant_singleton_large	trans_equal	4	1	1	0	0	3
trans_equal_trans_dominant_singleton_large	trans_equal	4	1	1	1	1	-3
trans_equal_cycle_dominant_pair_large	trans_equal	0	1	0	0	0	6
trans_equal_cycle_dominant_pair_large	trans_equal	1	0	1	0	0	4
trans_equal_cycle_dominant_pair_large	trans_equal	1	0	1	1	1	2
trans_equal_cycle_dominant_pair_large	trans_equal	1	1	1	0	0	-4
trans_equal_cycle_dominant_pair_large	trans_equal	1	1	1	1	1	-2
trans_equal_cycle_dominant_pair_large	trans_equal	2	0	1	0	0	2
trans_equal_cycle_dominant_pair_large	trans_equal	2	0	1	1	1	-2
trans_equal_cycle_dominant_pair_large	trans_equal	2	1	1	0	0	-2
trans_equal_cycle_dominant_pair_large	trans_equal	2	1	1	1	1	2
trans_equal_cycle_dominant_pair_large	trans_equal	3	0	0	0	0	3
trans_equal_cycle_dominant_pair_large	trans_equal	3	0	0	1	0	3
trans_equal_cycle_dominant_pair_large	trans_equal	3	0	1	0	0	-3
trans_equal_cycle_dominant_pair_large	trans_equal	3	0	1	1	0	-3
trans_equal_cycle_dominant_pair_large	trans_equal	3	1	0	0	0	-3
trans_equal_cycle_dominant_pair_large	trans_equal	3	1	0	1	0	-3
trans_equal_cycle_dominant_pair_large	trans_equal	3	1	1	0	0	3
trans_equal_cycle_dominant_pair_large	trans_equal	3	1	1	1	0	3
trans_equal_cycle_dominant_pair_large	trans_equal	4	0	0	0	0	3
trans_equal_cycle_dominant_pair_large	trans_equal	4	0	0	1	0	-3
trans_equal_cycle_dominant_pair_large	trans_equal	4	0	1	0	0	-3
trans_equal_cycle_dominant_pair_large	trans_equal	4	0	1	1	0	3
trans_equal_cycle_dominant_pair_large	trans_equal	4	1	0	0	0	-3
trans_equal_cycle_dominant_pair_large	trans_equal	4	1	0	1	0	3
trans_equal_cycle_dominant_pair_large	trans_equal	4	1	1	0	0	3
trans_equal_cycle_dominant_pair_large	trans_equal	4	1	1	1	0	-3
trans_equal_cycle_dominant_singleton_large	trans_equal	0	1	0	0	0	6
trans_equal_cycle_dominant_singleton_large	trans_equal	1	0	1	0	0	4
trans_equal_cycle_dominant_singleton_large	trans_equal	1	0	1	1	1	-4
trans_equal_cycle_dominant_singleton_large	trans_equal	1	1	1	0	0	-4
trans_equal_cycle_dominant_singleton_large	trans_equal	1	1	1	1	1	4
trans_equal_cycle_dominant_singleton_large	trans_equal	2	0	1	0	0	2
trans_equal_cycle_dominant_singleton_large	trans_equal	2	0	1	1	1	4
trans_equal_cycle_dominant_singleton_large	trans_equal	2	1	1	0	0	-2
trans_equal_cycle_dominant_singleton_large	trans_equal	2	1	1	1	1	-4
trans_equal_cycle_dominant_singleton_large	trans_equal	3	0	0	0	0	3
trans_equal_cycle_dominant_singleton_large	trans_equal	3	0	0	1	0	3
trans_equal_cycle_dominant_singleton_large	trans_equal	3	0	1	0	0	-3
trans_equal_cycle_dominant_singleton_large	trans_equal	3	0	1	1	0	-3
trans_equal_cycle_dominant_singleton_large	trans_equal	3	1	0	0	0	-3
trans_equal_cycle_dominant_singleton_large	trans_equal	3	1	0	1	0	-3
trans_equal_cycle_dominant_singleton_large	trans_equal	3	1	1	0	0	3
trans_equal_cycle_dominant_singleton_large	trans_equal	3	1	1	1	0	3
trans_equal_cycle_dominant_singleton_large	trans_equal	4	0	0	0	0	3
trans_equal_cycle_dominant_singleton_large	trans_equal	4	0	0	1	0	-3
trans_equal_cycle_dominant_singleton_large	trans_equal	4	0	1	0	0	-3
trans_equal_cycle_dominant_singleton_large	trans_equal	4	0	1	1	0	3
trans_equal_cycle_dominant_singleton_large	trans_equal	4	1	0	0	0	-3
trans_equal_cycle_dominant_singleton_large	trans_equal	4	1	0	1	0	3
