z0	z1	z2	z3	z4	numerator	denominator
1	3	1	1	9	-755	5184
1	3	1	2	8	3505	5184
1	3	1	3	7	1805	5832
1	3	1	4	6	-25825	5832
1	3	1	5	5	-5	12
1	3	1	6	4	1105	243
1	3	1	7	3	1250	243
1	3	1	8	2	-985	27
1	3	2	0	9	865	10368
1	3	2	1	8	3505	5184
1	3	2	2	7	18815	3888
1	3	2	3	6	126335	11664
1	3	2	4	5	1415	24
1	3	2	5	4	-625	162
1	3	2	6	3	2675	486
1	3	2	7	2	-2725	27
1	3	3	0	8	4315	15552
1	3	3	1	7	1805	5832
1	3	3	2	6	126335	11664
1	3	3	3	5	-995	36
1	3	3	4	4	31705	486
1	3	3	5	3	-3400	243
1	3	3	6	2	34385	81
1	3	4	0	7	-3875	2916
1	3	4	1	6	-25825	5832
1	3	4	2	5	1415	24
1	3	4	3	4	31705	486
1	3	4	4	3	33415	243
1	3	4	5	2	-6770	27
1	3	5	0	6	-27035	5832
1	3	5	1	5	-5	12
1	3	5	2	4	-625	162
1	3	5	3	3	-3400	243
1	3	5	4	2	-6770	27
1	3	6	0	5	-305	18
1	3	6	1	4	1105	243
1	3	6	2	3	2675	486
1	3	6	3	2	34385	81
1	3	7	0	4	-3140	243
1	3	7	1	3	1250	243
1	3	7	2	2	-2725	27
1	3	8	0	3	-5155	486
1	3	8	1	2	-985	27
1	3	9	0	2	-2200	243
1	4	0	0	10	25	3456
1	4	0	1	9	-985	10368
1	4	0	2	8	2765	10368
1	4	0	3	7	-3875	2916
1	4	0	4	6	-11245	23328
1	4	0	5	5	125	24
1	4	0	6	4	-30595	1944
1	4	0	7	3	-1510	243
1	4	0	8	2	-10	27
1	4	1	0	9	-985	10368
1	4	1	1	8	-7765	5184
1	4	1	2	7	13955	7776
1	4	1	3	6	-25825	5832
1	4	1	4	5	-130	3
1	4	1	5	4	-5375	162
1	4	1	6	3	-34505	486
1	4	1	7	2	865	27
1	4	2	0	8	2765	10368
1	4	2	1	7	13955	7776
1	4	2	2	6	156115	7776
1	4	2	3	5	1415	24
1	4	2	4	4	7355	81
1	4	2	5	3	5185	162
1	4	2	6	2	-4195	27
1	4	3	0	7	-3875	2916
