z0	z1	z2	z3	z4	numerator	denominator
1	1	2	8	3	460	81
1	1	2	9	2	1850	81
1	1	3	0	10	-3815	3456
1	1	3	1	9	-6625	648
1	1	3	2	8	-33245	1296
1	1	3	3	7	-40325	729
1	1	3	4	6	-26465	729
1	1	3	5	5	-80	3
1	1	3	6	4	-2540	243
1	1	3	7	3	8540	243
1	1	3	8	2	230	27
1	1	4	0	9	-6625	2592
1	1	4	1	8	-72125	2592
1	1	4	2	7	-25745	972
1	1	4	3	6	-26465	729
1	1	4	4	5	-385	3
1	1	4	5	4	-6130	81
1	1	4	6	3	-17860	243
1	1	4	7	2	-4400	27
1	1	5	0	8	-14425	2592
1	1	5	1	7	-22645	486
1	1	5	2	6	-6265	243
1	1	5	3	5	-80	3
1	1	5	4	4	-6130	81
1	1	5	5	3	-5200	81
1	1	5	6	2	2480	27
1	1	6	0	7	-22645	2916
1	1	6	1	6	-40285	729
1	1	6	2	5	140	3
1	1	6	3	4	-2540	243
1	1	6	4	3	-17860	243
1	1	6	5	2	2480	27
1	1	7	0	6	-5755	729
1	1	7	1	5	-140	3
1	1	7	2	4	3340	81
1	1	7	3	3	8540	243
1	1	7	4	2	-4400	27
1	1	8	0	5	-35	6
1	1	8	1	4	-2000	81
1	1	8	2	3	460	81
1	1	8	3	2	230	27
1	1	9	0	4	-2000	729
1	1	9	1	3	-8800	729
1	1	9	2	2	1850	81
1	1	10	0	3	-880	729
1	1	10	1	2	-440	81
1	1	11	0	2	-40	81
1	2	0	1	11	-335	768
1	2	0	2	10	30745	2304
1	2	0	3	9	58175	1296
1	2	0	4	8	446275	5184
1	2	0	5	7	162035	972
1	2	0	6	6	324215	1458
1	2	0	7	5	500	3
1	2	0	8	4	7100	81
1	2	0	9	3	32050	729
1	2	0	10	2	995	81
1	2	1	0	11	-335	768
1	2	1	1	10	-3815	1152
1	2	1	2	9	-6625	432
1	2	1	3	8	-33245	1296
1	2	1	4	7	-25745	972
1	2	1	5	6	-6265	243
1	2	1	6	5	140	3
1	2	1	7	4	3340	81
1	2	1	8	3	460	81
1	2	1	9	2	1850	81
1	2	2	0	10	30745	2304
1	2	2	1	9	-6625	432
1	2	2	2	8	-72125	864
1	2	2	3	7	-45185	486
1	2	2	4	6	-96935	486
1	2	2	5	5	-270	1
1	2	2	6	4	-7750	81
1	2	2	7	3	-7880	81
1	2	2	8	2	-1100	9
1	2	3	0	9	58175	1296
1	2	3	1	8	-33245	1296
1	2	3	2	7	-45185	486
1	2	3	3	6	-60220	729
1	2	3	4	5	70	3
1	2	3	5	4	700	81
1	2	3	6	3	8020	243
1	2	3	7	2	3350	27
1	2	4	0	8	446275	5184
1	2	4	1	7	-25745	972
1	2	4	2	6	-96935	486
1	2	4	3	5	70	3
1	2	4	4	4	-12490	81
1	2	4	5	3	1580	81
1	2	4	6	2	7010	27
1	2	5	0	7	162035	972
1	2	5	1	6	-6265	243
1	2	5	2	5	-270	1
1	2	5	3	4	700	81
1	2	5	4	3	1580	81
1	2	5	5	2	-6160	9
