family	index	status	seconds	variables	clauses	cnf_sha256	proof_sha256	digits	detail
p199	54	UNSAT	0.119801	208	4151	737cdfb035392516a652ac44c9e72e5df8462f7b4b999e8a290899ff5dcbdd78	5b2b3dd643cc5048baffcfa6cfb4aa8aca816de5bd9df914eb744a815f7801d2	-	drat-trim VERIFIED
p199	55	UNSAT	0.125133	208	4151	ee029d276b7581818dfb3b77c53696dac5a5db331473c05496c23f8bd6d7c007	0579c08d15ee85a18e4e054da824473ac6c0a77598604ef34567691f2395067c	-	drat-trim VERIFIED
p199	56	UNSAT	0.134781	208	4151	04eb93e2daa0b9b54b89c0373e10bdb63f21f5f8a964c514dc5691036d50981c	1b29749604ccd18289f54f70ff41ce49dada2757caa9cf92ba538f7b466634a9	-	drat-trim VERIFIED
p199	57	UNSAT	0.146511	208	4151	c935a7f3870d13487787ab2787212c80fd9f36b1b90e83ae8abfde067341cca5	2ee2f5ed894ca83f1e00aada2a6f64f29a62b58c2b852ee8b04dd868cb983ee7	-	drat-trim VERIFIED
p199	58	UNSAT	0.142373	208	4151	93e3d1ba6f29fbe05fbbf92be4abc8112725ac259236ba003233a7e74503ecab	d0474712179fa3605f1e3ada537163773a6f9d076cdef6f90d2c8cdd3481e6b0	-	drat-trim VERIFIED
p199	59	UNSAT	0.124028	208	4151	bdf84e77feeaa3d5dbdb14ec9cd1ee6c79c36441f40d0af84945fdd73f9d3dcb	80f6e901892e8676dff51622e913fb4924beac83f9c77422da7ab6947cb0cf5c	-	drat-trim VERIFIED
p199	60	UNSAT	0.123690	208	4151	eef6290cb12bb3188d16e877236176dc4133df9dd0afbe24aa8f8f91897d93e1	2366b4018743ab06f481eeeb5258b697a48728d1e20c7282128dfc5c68bf374a	-	drat-trim VERIFIED
p199	61	UNSAT	0.128180	208	4151	3960a30fe78bb730147fb139110e1055faf7336a2ddf400b0ee818a6b30deb93	20b597c41f145a28b1ded16c12f825207bcb541e1103d8e7056e5a4eb59d8904	-	drat-trim VERIFIED
p199	62	UNSAT	0.124383	208	4151	f2f473afca6fddd3c65c6a8fd6a82b0c7270b8f352ba824d8a83b6a288621ef0	d20f3e52cd507fa39ae6640eaad894ba426d6bd98d25ae89d0cb99febc9cf67d	-	drat-trim VERIFIED
p199	63	UNSAT	0.136213	208	4151	ae1a219a51dd901e581826754058b8d540edf5b93962042c7d06ac8604907392	e8687f15583ebfacb67d77904697046e23d01aa25b63d4ba6b75637e915257ca	-	drat-trim VERIFIED
p199	64	UNSAT	0.132803	208	4151	6e6405ec6435c2517f0b5c9c2cdcea91a4701a1f7150be9dbf3d618413d89a80	3ce756b3655971597089522b4e742802d1c9531066f043223522a9c74090d8ee	-	drat-trim VERIFIED
p199	65	UNSAT	0.131885	208	4151	cfdc6d5923472a9ce562035a12e7f7c3d67f5235a6454561021c226cd627a751	25f484f7405f6cd1de53e80678808ff31c1a80e7438806e26272c0168f6db395	-	drat-trim VERIFIED
p199	66	UNSAT	0.120395	208	4151	729410050dca092819bef9a87d1d30863b3db7669f140668caf5a7ed78098975	5816413f0c4f1457f2f14ca99258e4aaf6ccd1df6fcd3ff50e334a696e7ec242	-	drat-trim VERIFIED
p199	67	UNSAT	0.120320	208	4151	23c44d32a55189a2545f8f8c918717ccf3f466765f642d0ed673173ac4497e37	c53c7ad11356d4a33f216be52d9781c5ccc41f773b3e00341754944c89b0d352	-	drat-trim VERIFIED
p199	68	UNSAT	0.129650	208	4151	1b64bb9d7c0b4f7f6d97659530bc4fbacc8744c39eb9d71e694408b874697d96	1713ecaec8eb10991d5601a487d23b44671402305ed2e6493e17ab9b71ea323d	-	drat-trim VERIFIED
p199	69	UNSAT	0.133049	208	4151	a3f226db445cab081bee8deb6d485f272f6f3d192a2d884bd60f997d3f7f8cf7	fee4d309a575230b72caa65f22e84b7dd77b53d7b661d8d8dc9516040f95ad69	-	drat-trim VERIFIED
p199	70	UNSAT	0.123481	208	4151	4a6ee8b9bf6d2732997f6835259a98fad50653bdde0a44ae7d0867099b3b5d9e	0bff92ab8f9ac30a07d5bbf0ce1c8cb4f05122433ab0dca3ef27a8a03063c51c	-	drat-trim VERIFIED
p199	71	UNSAT	0.133472	208	4151	07921f400eae1e51697e8f5f6f889087767b47cbf0c233a900984a4fee7815b5	bfeb11d802d4c85aa1e81f9fb93de8777b2435dabbd6a7e56f3bce2d8ece9742	-	drat-trim VERIFIED
p199	72	UNSAT	0.125224	208	4151	0988940192d52be5b8134861ea8638f9d7d8e53a4506900ce45c3166a22008eb	14d589f019091a61c7eccf592be3f27691982966ffaa1a06013868713de6d4e9	-	drat-trim VERIFIED
p199	73	UNSAT	0.120870	208	4151	0f2f454d036394a1ed8c300079b45c8a3e9a16d202a6c95f7bc8352c79108af1	f8f420838302f5e660876383f8454870ecdb362e8f9d497952106c598a2f00a2	-	drat-trim VERIFIED
p199	74	UNSAT	0.122326	208	4151	54215bf0eff4325807d62ec749b0770525d1601feeac52cf423e8c7de51e3784	23f0fd8d11a0b0f1fa4ac7db5dc17f7f5389419c513ef31d9d0dd2cd958f19e7	-	drat-trim VERIFIED
