direction	degree	e	t	c	coefficient
standard_generic	3	2	7	3	77760
standard_generic	3	1	8	3	-29160
standard_generic	3	8	0	4	720
standard_generic	3	7	1	4	-2520
standard_generic	3	6	2	4	-13500
standard_generic	3	5	3	4	-47160
standard_generic	3	4	4	4	47970
standard_generic	3	3	5	4	-47520
standard_generic	3	2	6	4	102060
standard_generic	3	1	7	4	-68040
standard_generic	3	0	8	4	7290
standard_generic	3	7	0	5	-3600
standard_generic	3	6	1	5	-1440
standard_generic	3	5	2	5	10800
standard_generic	3	4	3	5	12240
standard_generic	3	3	4	5	-58680
standard_generic	3	2	5	5	110160
standard_generic	3	1	6	5	-106920
standard_generic	3	0	7	5	19440
standard_generic	3	6	0	6	6120
standard_generic	3	5	1	6	7200
standard_generic	3	4	2	6	-28620
standard_generic	3	3	3	6	2520
standard_generic	3	2	4	6	117900
standard_generic	3	1	5	6	-133920
standard_generic	3	0	6	6	35640
standard_generic	3	5	0	7	-4680
standard_generic	3	4	1	7	-14400
standard_generic	3	3	2	7	32400
standard_generic	3	2	3	7	51120
standard_generic	3	1	4	7	-138600
standard_generic	3	0	5	7	49680
standard_generic	3	4	0	8	720
standard_generic	3	3	1	8	14760
standard_generic	3	2	2	8	-3780
standard_generic	3	1	3	8	-80640
standard_generic	3	0	4	8	52020
standard_generic	3	3	0	9	2160
standard_generic	3	2	1	9	-6120
standard_generic	3	1	2	9	-16920
standard_generic	3	0	3	9	32040
standard_generic	3	2	0	10	-900
standard_generic	3	1	1	10	-1440
standard_generic	3	0	2	10	8280
standard_generic	3	1	0	11	-1440
standard_generic	3	0	1	11	1440
standard_generic	3	0	0	12	900
sign	2	10	3	0	180
sign	2	9	4	0	330
sign	2	8	5	0	720
sign	2	7	6	0	2280
sign	2	6	7	0	2880
sign	2	5	8	0	2700
sign	2	4	9	0	3240
sign	2	12	0	1	60
sign	2	9	3	1	480
sign	2	8	4	1	1410
sign	2	7	5	1	3240
sign	2	6	6	1	7620
sign	2	5	7	1	10800
sign	2	4	8	1	10800
sign	2	3	9	1	6480
sign	2	11	0	2	-80
sign	2	8	3	2	1080
sign	2	7	4	2	3120
sign	2	6	5	2	9000
sign	2	5	6	2	16560
sign	2	4	7	2	9720
sign	2	3	8	2	2700
sign	2	2	9	2	-9720
sign	2	10	0	3	220
sign	2	7	3	3	2640
sign	2	6	4	3	6540
sign	2	5	5	3	13680
sign	2	4	6	3	6600
sign	2	3	7	3	-10080
sign	2	2	8	3	-27000
sign	2	1	9	3	-12960
sign	2	9	0	4	90
sign	2	6	3	4	2760
sign	2	5	4	4	6900
sign	2	4	5	4	-7560
sign	2	3	6	4	-35400
sign	2	2	7	4	-33480
sign	2	1	8	4	-10800
sign	2	0	9	4	12960
sign	2	8	0	5	1020
sign	2	5	3	5	360
sign	2	4	4	5	-15150
sign	2	3	5	5	-32040
sign	2	2	6	5	-27900
sign	2	1	7	5	-12960
sign	2	0	8	5	21600
sign	2	7	0	6	-1800
sign	2	4	3	6	-8160
sign	2	3	4	6	-14880
sign	2	2	5	6	-14400
sign	2	1	6	6	-8880
sign	2	0	7	6	33120
sign	2	6	0	7	2880
sign	2	3	3	7	-7680
sign	2	2	4	7	-2640
sign	2	1	5	7	4320
sign	2	0	6	7	39120
sign	2	5	0	8	-3240
sign	2	2	3	8	3420
sign	2	1	4	8	690
sign	2	0	5	8	23040
sign	2	4	0	9	150
sign	2	1	3	9	-2760
sign	2	0	4	9	13680
sign	2	3	0	10	-420
sign	2	0	3	10	7680
sign	2	2	0	11	680
sign	2	1	0	12	-190
sign	2	0	0	13	630
