q	matrix	coefficients_Q	first_degree	classification	realized_epsilon
3	-1,2,-1,2,-2,0,-1,0,1	0,0,0,0,670680,0,2877120,139320,9387360,1452960,12396688,2968000,-365120,-365920,-16000,7136	4	LOCAL_POSITIVE	-
3	-1,2,-2,2,2,0,-2,0,-1	0,0,1705860,0,19688670,112590,113405910,3112470,331563060,26436570,439357896,75717510,182306070,30481650,11166870,1378446	2	LOCAL_POSITIVE	-
3	-1,2,-2,2,2,-1,-2,-1,1	0,0,918540,699840,8809560,10691595,55448070,69706290,202668585,199777370,304467157,204331935,89503240,20462105,2651395,159696	2	LOCAL_POSITIVE	-
3	-1,2,-2,2,1,1,-2,1,-2	0,0,1705860,-2143260,21533040,-41652225,162201750,-303375450,683115225,-931462130,1228677277,-903016725,460222480,-80272115,-9392165,1494264	2	LOCAL_POSITIVE	-
3	-1,2,-2,2,1,0,-2,0,0	0,0,918540,-393660,6838830,-4401540,29466690,-19572480,71201700,-34393980,77511744,-6640860,11059910,907500,-301290,-9520	2	LOCAL_POSITIVE	-
3	-1,2,-2,2,1,-1,-2,-1,2	0,0,393660,-87480,3178440,132435,17359110,-1232550,55624905,-14030190,62660277,5014695,-4269960,-2141415,86595,82896	2	LOCAL_POSITIVE	-
3	-1,2,-2,2,0,1,-2,1,-1	0,0,918540,-1487160,8420760,-17819595,54918870,-94583670,194708405,-208134460,250807445,-87768865,11001600,7515315,-252585,-77760	2	LOCAL_POSITIVE	-
3	-1,2,-2,2,0,0,-2,0,1	0,0,393660,-481140,2412990,-3173580,10521090,-12016080,28296180,-20101140,34883424,-2052180,1128870,295380,65430,3120	2	LOCAL_POSITIVE	-
3	-1,2,-2,2,-1,2,-2,2,-2	0,0,918540,-2580660,13905270,-38660490,152697750,-313230570,853591140,-976909390,1452273280,-331662270,-96577850,29901830,5200030,88926	2	LOCAL_POSITIVE	-
3	-1,2,-2,2,-1,1,-2,1,0	0,0,393660,-874800,3645000,-6722595,22756950,-30175470,74029365,-44080260,72582485,11750695,49840,-353005,-20585,-320	2	LOCAL_POSITIVE	-
3	-1,2,-2,2,-1,0,-2,0,2	0,0,131220,-262440,1473390,-1413450,6775350,-6327450,22973700,-11274030,38792616,148350,3782550,-735990,603030,777006	2	LOCAL_POSITIVE	-
3	-1,2,-2,2,-2,2,-2,2,-1	0,0,393660,-1268460,7224390,-13080690,69516630,-80225370,334903860,-56290950,350964000,179870730,34582950,3053070,115230,1086	2	LOCAL_POSITIVE	-
3	-1,2,-2,2,-2,1,-2,1,1	0,0,131220,-306180,2268000,-2062665,13390710,-8603490,45404025,-4360970,39784957,2408355,3779200,378445,-96485,-53256	2	LOCAL_POSITIVE	-
3	-1,1,2,1,1,-2,2,-2,-2	0,0,524880,-1224720,5815800,-13212720,45536640,-85976760,199798800,-249202400,307167952,-154307040,29430400,-1207520,131200,5664	2	LOCAL_POSITIVE	-
