base_index	leaf_ordinal	status	left_counts	left_hashes	right_counts	right_hashes	left_path	left_sha256	right_path	right_sha256	generated_children	query_checks	seconds	detail
3	82	CAP	0,0,0,0,0,0,0	-,-,-,-,-,-,-	0,0,0,0,0,0	-,-,-,-,-,-	-	-	-	-	0	0	1.55e-06	left: aggregate wall cap
3	90	CAP	0,0,0,0,0,0,0	-,-,-,-,-,-,-	0,0,0,0,0,0	-,-,-,-,-,-	-	-	-	-	0	0	1.7e-06	left: aggregate wall cap
3	91	CAP	0,0,0,0,0,0,0	-,-,-,-,-,-,-	0,0,0,0,0,0	-,-,-,-,-,-	-	-	-	-	0	0	1.58e-06	left: aggregate wall cap
3	92	CAP	0,0,0,0,0,0,0	-,-,-,-,-,-,-	0,0,0,0,0,0	-,-,-,-,-,-	-	-	-	-	0	0	1.53e-06	left: aggregate wall cap
3	93	CAP	0,0,0,0,0,0,0	-,-,-,-,-,-,-	0,0,0,0,0,0	-,-,-,-,-,-	-	-	-	-	0	0	1.43e-06	left: aggregate wall cap
3	94	CAP	0,0,0,0,0,0,0	-,-,-,-,-,-,-	0,0,0,0,0,0	-,-,-,-,-,-	-	-	-	-	0	0	1.41e-06	left: aggregate wall cap
3	101	CAP	0,0,0,0,0,0,0	-,-,-,-,-,-,-	0,0,0,0,0,0	-,-,-,-,-,-	-	-	-	-	0	0	1.6e-06	left: aggregate wall cap
3	102	CAP	0,0,0,0,0,0,0	-,-,-,-,-,-,-	0,0,0,0,0,0	-,-,-,-,-,-	-	-	-	-	0	0	1.54e-06	left: aggregate wall cap
3	103	CAP	0,0,0,0,0,0,0	-,-,-,-,-,-,-	0,0,0,0,0,0	-,-,-,-,-,-	-	-	-	-	0	0	1.45e-06	left: aggregate wall cap
3	111	CAP	0,0,0,0,0,0,0	-,-,-,-,-,-,-	0,0,0,0,0,0	-,-,-,-,-,-	-	-	-	-	0	0	1.5e-06	left: aggregate wall cap
3	112	CAP	0,0,0,0,0,0,0	-,-,-,-,-,-,-	0,0,0,0,0,0	-,-,-,-,-,-	-	-	-	-	0	0	1.46e-06	left: aggregate wall cap
3	113	CAP	0,0,0,0,0,0,0	-,-,-,-,-,-,-	0,0,0,0,0,0	-,-,-,-,-,-	-	-	-	-	0	0	1.51e-06	left: aggregate wall cap
3	120	CAP	0,0,0,0,0,0,0	-,-,-,-,-,-,-	0,0,0,0,0,0	-,-,-,-,-,-	-	-	-	-	0	0	1.52e-06	left: aggregate wall cap
3	128	CAP	0,0,0,0,0,0,0	-,-,-,-,-,-,-	0,0,0,0,0,0	-,-,-,-,-,-	-	-	-	-	0	0	1.4e-06	left: aggregate wall cap
3	936	CAP	0,0,0,0,0,0,0	-,-,-,-,-,-,-	0,0,0,0,0,0	-,-,-,-,-,-	-	-	-	-	0	0	1.87e-06	left: aggregate wall cap
3	937	CAP	0,0,0,0,0,0,0	-,-,-,-,-,-,-	0,0,0,0,0,0	-,-,-,-,-,-	-	-	-	-	0	0	1.66e-06	left: aggregate wall cap
3	938	CAP	0,0,0,0,0,0,0	-,-,-,-,-,-,-	0,0,0,0,0,0	-,-,-,-,-,-	-	-	-	-	0	0	1.59e-06	left: aggregate wall cap
3	939	CAP	0,0,0,0,0,0,0	-,-,-,-,-,-,-	0,0,0,0,0,0	-,-,-,-,-,-	-	-	-	-	0	0	1.48e-06	left: aggregate wall cap
